#Directory=/opt/genelab-genomespace-dev_mount_point/
GLDS#	Copied	ArrayType	Normalize/QC	Annotated
GLDS-4	False	False	False	False
GLDS-21	False	False	False	False
GLDS-25	False	False	False	False
GLDS-33	False	False	False	False
GLDS-50	False	False	False	False
GLDS-61	False	False	False	False
GLDS-87	False	False	False	False
GLDS-111	False	False	False	False
GLDS-116	False	False	False	False
GLDS-135	False	False	False	False
GLDS-63	False	False	False	False
GLDS-13	False	False	False	False
GLDS-52	False	False	False	False
GLDS-53	False	False	False	False
GLDS-54	False	False	False	False
GLDS-118	False	False	False	False
GLDS-174	False	False	False	False
GLDS-1	False	False	False	False
GLDS-3	False	False	False	False
GLDS-36	False	False	False	False
GLDS-7	False	False	False	False
GLDS-17	False	False	False	False
GLDS-44	False	False	False	False
GLDS-121	False	False	False	False
GLDS-147	False	False	False	False
GLDS-35	False	False	False	False
GLDS-41	False	False	False	False
GLDS-42	False	False	False	False
GLDS-75	False	False	False	False
GLDS-112	False	False	False	False
GLDS-113	False	False	False	False
GLDS-165	False	False	False	False
GLDS-166	False	False	False	False
GLDS-167	False	False	False	False
GLDS-190	False	False	False	False
GLDS-28	False	False	False	False
GLDS-20	False	False	False	False
GLDS-15	False	False	False	False
GLDS-31	False	False	False	False
GLDS-39	False	False	False	False
GLDS-58	False	False	False	False
GLDS-62	False	False	False	False
GLDS-11	False	False	False	False
GLDS-172	False	False	False	False
GLDS-188	False	False	False	False
GLDS-18	False	False	False	False
GLDS-29	False	False	False	False
GLDS-30	False	False	False	False
GLDS-32	False	False	False	False
GLDS-74	False	False	False	False
GLDS-79	False	False	False	False
GLDS-80	False	False	False	False
GLDS-88	False	False	False	False
GLDS-89	False	False	False	False
GLDS-93	False	False	False	False
GLDS-94	False	False	False	False
GLDS-107	False	False	False	False
GLDS-109	False	False	False	False
GLDS-117	False	False	False	False
GLDS-131	False	False	False	False
GLDS-148	False	False	False	False
GLDS-153	False	False	False	False
GLDS-156	False	False	False	False
GLDS-158	False	False	False	False
GLDS-159	False	False	False	False
GLDS-160	False	False	False	False
GLDS-6	False	False	False	False
GLDS-19	False	False	False	False
GLDS-124	False	False	False	False
GLDS-2	False	False	False	False
GLDS-5	False	False	False	False
GLDS-9	False	False	False	False
GLDS-51	False	False	False	False
GLDS-55	False	False	False	False
GLDS-56	False	False	False	False
GLDS-71	False	False	False	False
GLDS-73	False	False	False	False
GLDS-78	False	False	False	False
GLDS-92	False	False	False	False
GLDS-114	False	False	False	False
GLDS-115	False	False	False	False
GLDS-125	False	False	False	False
GLDS-128	False	False	False	False
GLDS-129	False	False	False	False
GLDS-130	False	False	False	False
GLDS-149	False	False	False	False
GLDS-151	False	False	False	False
GLDS-152	False	False	False	False
GLDS-154	False	False	False	False
GLDS-155	False	False	False	False
GLDS-157	False	False	False	False
GLDS-189	False	False	False	False
GLDS-27	False	False	False	False
GLDS-34	False	False	False	False
GLDS-70	False	False	False	False
GLDS-8	False	False	False	False
GLDS-22	False	False	False	False
GLDS-45	False	False	False	False
GLDS-46	False	False	False	False
GLDS-134	False	False	False	False
GLDS-136	False	False	False	False
GLDS-144	False	False	False	False
GLDS-40	False	False	False	False
GLDS-81	False	False	False	False
GLDS-43	False	False	False	False
GLDS-14	False	False	False	False
GLDS-10	False	False	False	False
GLDS-12	False	False	False	False
GLDS-97	False	False	False	False
GLDS-60	False	False	False	False
GLDS-76	False	False	False	False
GLDS-123	False	False	False	False
